表格 1
旧序号,点名,点名,点名,量程下限,量程上限,量纲,设备号,通道号,点类型
35,T21FT01_2LJ,#2汽机流量累计,18,0,100,t,,,AM
36,T2AIBY01,#2机排汽流量,18,0,300,,,,AM
37,T2AIBY14,#2机高加进汽流量累积,18,0,100,,,,AM
38,T041PT17,给水泵出口冷母管压力,12,0,10,MPa,7,0,AI
39,T041PT15,永张线调门阀位反馈,12,0,100,％,8,0,AI
40,T051M03I,永塘线压力,12,0,1.60000002384185,Mpa,20,1,AI
41,T051M04I,永塘线压力调门反馈,12,0,100,%,20,2,AI
42,T021PT06,主蒸汽母管至高压双减器蒸汽压力,12,0,6,Mpa,21,0,AI
43,T021TE18,主蒸汽母管至双减器蒸汽温度,12,0,1000,℃,17,6,AI
44,T021TE19,高压减温减压器出口蒸汽温度,12,0,1000,℃,17,7,AI
45,T021TE20,低压减温减压器出口蒸汽温度,12,0,1000,℃,18,0,AI
46,T021TE21,减温器出口蒸汽温度,12,0,1000,℃,18,1,AI
47,T0BYRTD01,减温器入口温度,12,0,1000,℃,17,4,AI
48,T051TE_JW2,减温器出口温度,12,0,1000,℃,17,5,AI
49,T051FT01BC,#1双减出口流量,0,80,12,t/h,,,AM
50,T051FT02BC,#2双减出口流量,0,100,12,t/h,,,AM
51,T021FT02BC,高压双减出口流量,0,100,12,t/h,,,AM
52,T021FT03BC,低压双减出口流量,0,100,12,t/h,,,AM
53,G_61PT01,绿晟 循环水压力,0,100,12,MPa,,,AM
54,G_61FE01,绿晟 循环水母管出水流量,0,100,12,t/h,,,AM
55,G_51FT02_2,绿晟至永兴主蒸汽流量计累积值,0,100,12,t,,,AM
56,G_61FE02,绿晟 循环水母管回水流量,0,100,12,t/h,,,AM
57,G_51FT01_2,绿晟至永兴供热蒸汽流量计累积值,0,100,12,t,,,AM
58,G_51FT02,绿晟 至永兴主蒸汽流量,0,100,12,t/h,,,AM
59,G_51FT02_3,绿晟至永兴主蒸汽流量计热量累积值,0,100,12,GJ,,,AM
60,G_51PT13,绿晟 至永兴主蒸汽压力,0,10,12,MPa,,,AM
61,G_51FT01_3,绿晟至永兴供热蒸汽流量计热量累积,0,100,12,GJ,,,AM
62,G_51TE10,绿晟 至永兴主蒸汽温度,0,600,12,℃,,,AM
63,G_51FT01,绿晟 至永兴供热母管蒸汽流量,0,100,12,t/h,,,AM
64,G_51PT14,绿晟 至永兴供热母管蒸汽压力,0,10,12,MPa,,,AM
65,G_51TE11,绿晟 至永兴供热蒸汽温度,0,600,12,℃,,,AM
66,T051PT01,#1减温减压器进口汽压,12,0,6,Mpa,9,6,AI
67,T051PT02,#1减温减压器出口汽压,12,0,1.60000002384185,Mpa,9,7,AI
68,T051FT01,#1减温减压器出口蒸汽差压,12,0,100,Kpa,10,0,AI
69,T051PCV01I,#1减温减压器减压阀阀位反馈,12,0,100,%,10,1,AI
70,T051TCV01I,#1减温减压器减温水调阀阀位反馈,12,0,100,%,10,2,AI
71,T051PCV_JWS,减温减压器减温水调门反馈,12,0,100,%,10,5,AI
72,T051PDT_QB,汽动泵进口流量喷嘴差压,12,0,40,Kpa,10,6,AI
73,T051PT03,#2减温减压器进口汽压,12,0,6,Mpa,10,7,AI
74,T051PT04,#2减温减压器出口汽压,12,0,1.60000002384185,Mpa,19,0,AI
75,T051FT02,#2减温减压器出口蒸汽差压,12,0,100,Kpa,19,1,AI
76,T051PCV02I,#2减温减压器减压阀阀位反馈,12,0,100,%,19,2,AI
77,T051TCV02I,#2减温减压器减温水调阀阀位反馈,12,0,100,%,19,3,AI
78,T021PCV01I,高压减温减压器减压阀阀位反馈,12,0,100,%,20,6,AI
79,T021TCV01I,高压减温减压器减温水调阀阀位反馈,12,0,100,%,20,7,AI
80,T021PT07,高压减温减压器出口蒸汽压力,12,0,2.5,Mpa,21,1,AI
81,T021FT02,高压减温减压器出口差压,12,0,50,Kpa,21,2,AI
82,T021PCV02I,低压减温减压器减压阀阀位反馈,12,0,100,%,21,3,AI
83,T021TCV02I,低压减温减压器减温水调阀阀位反馈,12,0,100,%,21,4,AI
84,T021PT08,低压减温减压器出口蒸汽压力,12,0,6,Mpa,21,5,AI
85,T021FT03,低压减温减压器出口差压,12,0,40,Kpa,21,6,AI
86,T021TCV03I,减温器减温水调阀阀位反馈,12,0,100,%,21,7,AI
87,T021FT04,减温器出口蒸汽差压,12,0,50,Kpa,22,0,AI
88,T021MV07I,高压减温减压器入口电动门反馈,12,0,100,%,22,1,AI
89,T021MV08I,高压减温减压器出口电动门反馈,12,0,100,%,22,2,AI
90,T021MV10I,低压减温减压器入口电动门反馈,12,0,100,%,22,3,AI
91,T021MV11I,低压减温减压器出口电动门反馈,12,0,100,%,22,4,AI
92,T0BYAI01,减温器出口i流量,12,0,100,t,22,5,AI
93,T041TE36,高压给水热母管温度,12,0,600,℃,16,5,AI
94,T051TE_JW1,减温器入口温度,12,0,600,℃,16,6,AI
95,T0BYRTD02,减温器出口温度,12,0,600,℃,16,7,AI
96,T051TE01,#1减温减压器入口温度,12,0,1000,℃,17,0,AI
97,T051TE02,#1减温减压器出口温度,12,0,1000,℃,17,1,AI
98,T051TE03,#2减温减压器入口温度,12,0,1000,℃,17,2,AI
99,T051TE04,#2减温减压器出口温度,12,0,1000,℃,17,3,AI
100,T80DCS03,排汽压力实际值,18,0,2,MPa,10,2,AI
101,T80DCS05,阀位,18,0,100,%,10,4,AI
102,T2BYAI06,永张线流量,18,0,110,t/h,10,5,AI
103,T2BYAI07,永塘线流量,18,0,80,t/h,10,6,AI
104,T2BYAI08,永恒线流量,18,0,130,t/h,10,7,AI
105,T2BYAI15,永张线压力,18,0,1.60000002384185,MPa,11,6,AI
106,T2BYAI16,永恒线压力,18,0,1.60000002384185,MPa,11,7,AI
107,T21TE18,主蒸汽母管至高压至减温器温度,18,0,1000,℃,16,2,AI
108,T2BYAI19,#3双减减温水流量,18,0,20,t/h,28,3,AI
109,T2BYAI26,#1、#2双减减温水流量,18,0,20,t/h,29,2,AI
110,T2BYAI27,热网减温水流量,18,0,20,t/h,29,3,AI
111,T21TCV01I,永恒线温度,18,℃,6,6,0,350,AI
112,BYAM12102,#1双减出口流量累计,12,0,999999,t,,,AM
113,BYAM12103,#2双减出口流量累计,12,0,999999,t,,,AM
114,BYAM12104,高压双减出口流量累计,12,0,999999,t,,,AM
115,BYAM12105,低压双减出口流量累计,12,0,999999,t,,,AM
116,BYAM12106,减温器出口流量累计,12,0,999999,t,,,AM
117,BYAM13101,减温减压器减温水流量,13,0,10,t/h,,,AM
118,BYAM13102,减温减压器减温水流量累计,13,0,999999,t,,,AM
119,T021FT04BC,减温器出口蒸汽流量,12,0,80,t/h,,,AM
120,T2AIBY02,热网供热总量,18,0,500,t/h,,,AM
121,GFJTCSD,给粉机上层同操反馈,17,0,100,%,,,AM
122,GFJTCXD,给粉机下层同操反馈,17,0,100,%,,,AM
123,T2AIBY11,#3双减减温水流量累积,18,0,100,,,,AM
124,T2AIBY17,#1、#2双减减温水流量累积,18,0,100,,,,AM
125,T2AIBY18,热网减温水流量累积,18,0,100,,,,AM
126,B1_11PT11,绿晟 #1锅炉主蒸汽压力,12,0,10,MPa,,,AM
127,B1_11TE19,绿晟 #1锅炉主蒸汽温度,12,0,600,℃,,,AM
128,B1_11FT04,绿晟 #1锅炉主蒸汽流量,12,0,600,t/h,,,AM
129,B1_11PT15,绿晟 #1锅炉再热蒸汽母管压力,12,0,10,MPa,,,AM
130,B1_11TE26,绿晟 #1锅炉再热蒸汽母管蒸汽温度,12,0,100,℃,,,AM
131,B1_11FT05,绿晟 #1锅炉再热蒸汽流量,12,0,600,t/h,,,AM
132,T1_21PT604,绿晟 #1汽机高压排汽压力,12,0,10,MPa,,,AM
133,T1_21TE04,绿晟 #1汽机高压排汽温度,12,0,600,℃,,,AM
134,T1_21FT02,绿晟 #1汽机抽汽流量,12,0,100,t/h,,,AM
135,T1_21PT603,绿晟 #1汽机低压排汽压力,12,0,10,MPa,,,AM
136,T1_21TE03,绿晟 #1汽机低压排汽温度,12,0,600,℃,,,AM
137,T1_21FT03,绿晟 #1汽机排汽流量,12,0,100,t/h,,,AM
138,G_51FT04BC,#1减温减压器出口蒸汽流量,12,0,100,t/h,,,AM
139,G_51FT06BC,#3减温减压器出口蒸汽流量,12,0,100,t/h,,,AM
140,G_51FT07BC,#4减温减压器出口蒸汽流量,12,0,100,t/h,,,AM
141,G_51PT03,#1减温减压器出口蒸汽压力,12,0,100,MPa,,,AM
142,G_51TE03,#1减温减压器出口蒸汽温度,12,0,100,℃,,,AM
143,G_51PT07,#3减温减压器出口蒸汽压力,12,0,100,MPa,,,AM
144,G_51TE07,#3减温减压器出口蒸汽温度,12,0,100,℃,,,AM
145,G_51PT09,#4减温减压器出口蒸汽压力,12,0,100,MPa,,,AM
146,G_51TE09,#4减温减压器出口蒸汽温度,12,0,100,℃,,,AM
147,YJPA1,绿晟来蒸汽隔离门已开,10,,,,,,DI
148,YJPA2,绿晟来蒸汽隔离门已关,10,,,,,,DI
149,YJPA3,绿晟来蒸汽隔离门故障,10,,,,,,DI
150,YJPA4,绿晟来蒸汽隔离门就地/远方,10,,,,,,DI
151,T011MV07O,主蒸汽母管至减温减压器电动门已开,12,,,,,,DI
152,T011MV07C,主蒸汽母管至减温减压器电动门已关,12,,,,,,DI
153,T011MV07F,主蒸汽母管至减温减压器电动门故障,12,,,,,,DI
154,T041MV09O,给水冷热母管联络电动门1已开,12,,,,,,DI
155,T041MV09C,给水冷热母管联络电动门已关,12,,,,,,DI
156,T041MV09F,给水冷热母管联络电动门1故障,12,,,,,,DI
157,T041MV_LLO,#1#2机联络隔离门已开,12,,,,,,DI
158,T041MV_LLC,#1#2机联络隔离门已关,12,,,,,,DI
159,T041MV_LLF,#1#2机联络隔离门故障,12,,,,,,DI
160,T041MV_GRO,供热蒸汽母管出口电动门已开,12,,,,,,DI
161,T041MV_GRC,供热蒸汽母管出口电动门已关,12,,,,,,DI
162,T041MV_GRF,供热蒸汽母管出口电动门故障,12,,,,,,DI
163,T051MV01O,#1减温减压器蒸汽入口门已开,12,,,,,,DI
164,T051MV01C,#1减温减压器蒸汽入口门已关,12,,,,,,DI
165,T051MV01A,#1减温减压器蒸汽入口门故障,12,,,,,,DI
166,T051MV02O,#1减温减压器蒸汽出口门已开,12,,,,,,DI
167,T051MV02C,#1减温减压器蒸汽出口门已关,12,,,,,,DI
168,T051MV02A,#1减温减压器蒸汽出口门故障,12,,,,,,DI
169,T051MV03O,#2减温减压器蒸汽入口门已开,12,,,,,,DI
170,T051MV03C,#2减温减压器蒸汽入口门已关,12,,,,,,DI
171,T051MV03A,#2减温减压器蒸汽入口门故障,12,,,,,,DI
172,T051MV04O,#2减温减压器蒸汽出口门已开,12,,,,,,DI
173,T051MV04C,#2减温减压器蒸汽出口门已关,12,,,,,,DI
174,T051MV04A,#2减温减压器蒸汽出口门故障,12,,,,,,DI
175,T021MV06O,主蒸汽母管至高压双减器电动门已开,12,,,,,,DI
176,T021MV06C,主蒸汽母管至高压双减器电动门已关,12,,,,,,DI
177,T021MV06F,主蒸汽母管至高压双减器电动门故障,12,,,,,,DI
178,T021MV09O,双减器出口母管至高加电动门已开,12,,,,,,DI
179,T021MV09C,双减器出口母管至高加电动门已关,12,,,,,,DI
180,T021MV09F,双减器出口母管至高加电动门故障,12,,,,,,DI
181,T121MV01O,#1汽机主蒸汽母管至汽机电动门已开,13,,,,,,DI
182,T121MV01C,#1汽机主蒸汽母管至汽机电动门已关,13,,,,,,DI
183,T121MV01F,#1汽机主蒸汽母管至汽机电动门故障,13,,,,,,DI
184,T121MV02O,#1汽机主蒸汽电动门已开,13,,,,,,DI
185,T121MV02C,#1汽机主蒸汽电动门已关,13,,,,,,DI
186,T121MV02F,#1汽机主蒸汽电动门故障,13,,,,,,DI
187,T121MV03O,#1汽机排汽电动门已开,13,,,,,,DI
188,T121MV03C,#1汽机排汽电动门已开,13,,,,,,DI
189,T121MV03F,#1汽机排汽电动门故障,13,,,,,,DI
190,T121MV04O,#1汽机高加联络电动门已开,13,,,,,,DI
191,T121MV04C,#1汽机高加联络电动门已关,13,,,,,,DI
192,T121MV04F,#1汽机高加联络电动门故障,13,,,,,,DI
193,T121MV05O,#1汽机高加进水电动门已开,13,,,,,,DI
194,T121MV05C,#1汽机高加进水电动门已关,13,,,,,,DI
195,T121MV05F,#1汽机高加进水电动门故障,13,,,,,,DI
196,T121MV06O,#1汽机高加出水电动门已开,13,,,,,,DI
197,T121MV06C,#1汽机高加出水电动门已关,13,,,,,,DI
198,T121MV06F,#1汽机高加出水电动门故障,13,,,,,,DI
199,T121MV08O,#1汽机高加进汽电动门已开,13,,,,,,DI
200,T121MV08C,#1汽机高加进汽电动门已关,13,,,,,,DI
201,T121MV08F,#1汽机高加进汽电动门故障,13,,,,,,DI
202,T121MV_DJEO,#1汽机主蒸汽母管至汽机电动门远方,13,,,,,,DI
203,T121MV_DJEC,#1汽机主蒸汽电动门远方/就地,13,,,,,,DI
204,T121ASI2,#1汽机DEH超速停机,13,,,,,,DI
205,T121TIS01H1,三取二超速停机报警1,13,,,,,,DI
206,T121TIS01H2,三取二超速停机报警2,13,,,,,,DI
207,T121TIS02H1,三取二超速停机报警3,13,,,,,,DI
208,T121TIS02H2,热膨胀报警,13,,,,,,DI
209,T121TIS04H1,DEH打闸开出,13,,,,,,DI
210,T121TIS04H2,DCS允许控机,13,,,,,,DI
211,T121GEP1,#1发电机主保护动作(电气来),13,,,,,,DI
212,T121OILV1,#1发电机脱网（电气来）,13,,,,,,DI
213,T1BYDI08,T80跳闸（T80紧急停机）,13,,,,,,DI
214,T1BYDI09,T80报警,13,,,,,,DI
215,T1BYDI10,T80超速跳闸（T80超速停机）,13,,,,,,DI
216,T1BYDI11,超速试验已投,13,,,,,,DI
217,T1BYDI12,远程转速控制已投,13,,,,,,DI
218,T1BYDI13,排汽压力控制已投,13,,,,,,DI
219,T1BYDI14,功率控制已投,13,,,,,,DI
220,T1BYDI20,#1汽机主汽门1开到位,13,,,,,,DI
221,T1BYDI21,#1汽机主汽门1关到位,13,,,,,,DI
222,T1BYDI22,#1汽机主汽门2开到位,13,,,,,,DI
223,T1BYDI23,#1汽机主汽门2关到位,13,,,,,,DI
224,T21MV01O_2,主蒸汽母管至#2汽机蒸汽电动门已开,18,,,,,,DI
225,T21MV01C_2,主蒸汽母管至#2汽机蒸汽电动门已关,18,,,,,,DI
226,T21MV01F_2,主蒸汽母管至#2汽机蒸汽电动门故障,18,,,,,,DI
227,T21MV02O_2,#2汽机进汽电动门已开,18,,,,,,DI
228,T21MV02C_2,#2汽机进汽电动门已关,18,,,,,,DI
229,T21MV02F_2,#2汽机进汽电动门故障,18,,,,,,DI
230,T2GJMV01O,高加进水电动门已开,18,,,,,,DI
231,T2GJMV01C,高加进水电动门已关,18,,,,,,DI
232,T2GJMV01F,高加进水电动门故障,18,,,,,,DI
233,T2GJMV02O,高加出水电动门已开,18,,,,,,DI
234,T2GJMV02C,高加出水电动门已关,18,,,,,,DI
235,T2GJMV02F,高加出水电动门故障,18,,,,,,DI
236,T2GJMV03O,高加旁路电动门已开,18,,,,,,DI
237,T2GJMV03C,高加旁路电动门已关,18,,,,,,DI
238,T2GJMV03F,高加旁路电动门故障,18,,,,,,DI
239,T2GJMV04O,高加疏水电动门已开,18,,,,,,DI
240,T2GJMV04C,高加疏水电动门已关,18,,,,,,DI
241,T2GJMV04F,高加疏水电动门故障,18,,,,,,DI
242,T2GJMV05O,高加进汽电动门已开,18,,,,,,DI
243,T2GJMV05C,高加进汽电动门已关,18,,,,,,DI
244,T2GJMV05F,高加进汽电动门故障,18,,,,,,DI
245,T2DYGL01O,低压双减至老母管隔离门已开,18,,,,,,DI
246,T2DYGL01C,低压双减至老母管隔离门已关,18,,,,,,DI
247,T2DYGL01F,低压双减至老母管隔离门故障,18,,,,,,DI
248,T2BYDI19,调节油滤网差压,18,,,,,,DI
249,T2PB1,启动（启动盘来）,18,,,,,,DI
250,T2PB2,复位（启动盘来）,18,,,,,,DI
251,T2PB3,升速（启动盘来）,18,,,,,,DI
252,T2PB4,降速（启动盘来）,18,,,,,,DI
253,T2PB5,超速试验（启动盘来）,18,,,,,,DI
254,T2PB6,暖机/额定（启动盘来）,18,,,,,,DI
255,T2PB7,紧急停机（启动盘来）,18,,,,,,DI
256,T21PS04A_2,#2汽机排汽压力,18,,,,,,DI
257,T21PS04B_2,#2汽机排汽压力,18,,,,,,DI
258,T21PS04C_2,#2汽机排汽压力,18,,,,,,DI
259,T21PS02_2,#2汽机速关油压力,18,,,,,,DI
260,T21SE08_2,#2汽机转速(超速保护装置至ETS)1,18,,,,,,DI
261,T21BCJ1_2,#2发电机主保护动作,18,,,,,,DI
262,T21BCJ2_2,#2发电机脱网,18,,,,,,DI
263,T2BYSOE01,T80跳闸,18,,,,,,DI
264,T2BYSOE02,T80报警,18,,,,,,DI
265,SDTJ01,#1汽机手动停机,13,,,,,,DI
266,SDTJ02,#1汽机手动停机至继电器接口,13,,,,,,DI
267,RSSDTJ,#1汽机手动停机复位,13,,,,,,DI
268,T121PS36C,#1汽机调节油滤油器压差,13,,,,,,DI
269,T121PS38,#1机主油泵出口油压(启高启油泵),13,,,,,,DI
270,T121TIS06H2,#1汽机速关油压力(停#1汽机),13,,,,,,DI
271,T22PS02_2,#2汽机主油泵出口压力低,18,,,,,,DI
